packet_count,byte_count,duration_sec,byte_rate,label
2,196,5,39.2,0
1,98,5,19.6,0
2,196,4,49.0,0
1,98,4,24.5,0
119,12506,6,2084.3333333333335,0
20,1200,8,150.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,6,39.666666666666664,0
2,140,6,23.333333333333332,0
3,238,6,39.666666666666664,0
2,140,6,23.333333333333332,0
121,12906,8,1613.25,0
17,1020,8,127.5,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
122,12962,8,1620.25,0
10,600,8,75.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
114,12392,8,1549.0,0
19,1140,8,142.5,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,6,39.666666666666664,0
2,140,6,23.333333333333332,0
123,13046,8,1630.75,0
8,480,8,60.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,7,20.0,0
3,238,7,34.0,0
2,140,6,23.333333333333332,0
3,238,6,39.666666666666664,0
2,140,6,23.333333333333332,0
116,12546,8,1568.25,0
24,1440,10,144.0,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,8,29.75,0
2,140,8,17.5,0
3,238,8,29.75,0
2,140,8,17.5,0
125,13334,10,1333.4,0
21,1260,10,126.0,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
126,13390,10,1339.0,0
12,720,10,72.0,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
118,12820,10,1282.0,0
10,600,10,60.0,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,8,17.5,0
3,238,8,29.75,0
2,140,8,17.5,0
120,12974,10,1297.4,0
23,1380,10,138.0,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,9,26.444444444444443,0
2,140,9,15.555555555555555,0
3,238,8,29.75,0
2,140,8,17.5,0
127,13474,10,1347.4,0
14,840,12,70.0,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
118,12820,12,1068.3333333333333,0
26,1560,12,130.0,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
126,13390,12,1115.8333333333333,0
28,1680,12,140.0,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,10,14.0,0
3,238,10,23.8,0
2,140,10,14.0,0
125,13334,12,1111.1666666666667,0
13,780,12,65.0,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,10,14.0,0
3,238,10,23.8,0
2,140,10,14.0,0
120,12974,12,1081.1666666666667,0
27,1620,12,135.0,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,11,21.636363636363637,0
2,140,11,12.727272727272727,0
3,238,10,23.8,0
2,140,10,14.0,0
127,13474,12,1122.8333333333333,0
16,960,14,68.57142857142857,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
124,13240,14,945.7142857142857,0
31,1860,14,132.85714285714286,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
131,13740,14,981.4285714285714,0
32,1920,14,137.14285714285714,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,12,11.666666666666666,0
3,238,12,19.833333333333332,0
2,140,12,11.666666666666666,0
130,13684,14,977.4285714285714,0
15,900,14,64.28571428571429,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,12,11.666666666666666,0
3,238,12,19.833333333333332,0
2,140,12,11.666666666666666,0
125,13324,14,951.7142857142857,0
32,1920,14,137.14285714285714,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,13,10.76923076923077,0
3,238,13,18.307692307692307,0
2,140,12,11.666666666666666,0
132,13824,14,987.4285714285714,0
36,2160,16,135.0,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,14,10.0,0
136,14104,16,881.5,0
36,2160,16,135.0,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,14,10.0,0
3,238,14,17.0,0
2,140,14,10.0,0
134,13964,16,872.75,0
19,1140,16,71.25,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
127,13450,16,840.625,0
35,2100,16,131.25,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
135,14020,16,876.25,0
17,1020,16,63.75,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,15,9.333333333333334,0
3,238,15,15.866666666666667,0
2,140,14,10.0,0
3,238,14,17.0,0
2,140,14,10.0,0
129,13604,16,850.25,0
42,2520,18,140.0,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,16,8.75,0
3,238,16,14.875,0
2,140,16,8.75,0
138,14392,18,799.5555555555555,0
41,2460,18,136.66666666666666,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
140,14532,18,807.3333333333334,0
21,1260,18,70.0,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
131,13878,18,771.0,0
39,2340,18,130.0,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
139,14448,18,802.6666666666666,0
19,1140,18,63.333333333333336,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,17,8.235294117647058,0
3,238,17,14.0,0
2,140,16,8.75,0
3,238,16,14.875,0
2,140,16,8.75,0
133,14032,18,779.5555555555555,0
46,2760,20,138.0,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,18,7.777777777777778,0
3,238,18,13.222222222222221,0
2,140,18,7.777777777777778,0
138,14392,20,719.6,0
45,2700,20,135.0,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
140,14532,20,726.6,0
23,1380,20,69.0,0
73600,4857676,19,255667.15789473685,0
113651,5001409402,19,263232073.78947368,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
131,13878,20,693.9,0
44,2640,20,132.0,0
73600,4857676,19,255667.15789473685,0
113650,5001344176,19,263228640.84210527,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
139,14448,20,722.4,0
21,1260,20,63.0,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,19,7.368421052631579,0
3,238,19,12.526315789473685,0
2,140,18,7.777777777777778,0
3,238,18,13.222222222222221,0
2,140,18,7.777777777777778,0
133,14032,20,701.6,0
50,3000,22,136.36363636363637,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
